"","site_brom.id","abundance","family"
"1","costarica_10",8,"Scirtidae"
"2","costarica_10",4,"Chironomidae"
"3","costarica_10",10,"Limoniidae"
"4","costarica_10",1,"Ceratopogonidae"
"5","costarica_10",1,"Ceratopogonidae"
"6","costarica_10",6,"Naididae"
"7","costarica_11",3,"Scirtidae"
"8","costarica_11",7,"Chironomidae"
"9","costarica_11",1,"Psychodidae"
"10","costarica_11",5,"Limoniidae"
"11","costarica_11",1,"Chironomidae"
"12","costarica_11",6,"Naididae"
"13","costarica_12",1,"Dolichopodidae"
"14","costarica_12",3,"Chironomidae"
"15","costarica_12",3,"Limoniidae"
"16","costarica_12",1,"Ceratopogonidae"
"17","costarica_12",6,"Naididae"
"18","costarica_13",2,"Scirtidae"
"19","costarica_13",3,"Cecidomyiidae"
"20","costarica_13",28,"Chironomidae"
"21","costarica_13",22,"Limoniidae"
"22","costarica_13",3,"Culicidae"
"23","costarica_13",1,"Ceratopogonidae"
"24","costarica_13",1,"Culicidae"
"25","costarica_13",3,"Naididae"
"26","costarica_14",11,"Scirtidae"
"27","costarica_14",24,"Chironomidae"
"28","costarica_14",2,"Psychodidae"
"29","costarica_14",7,"Limoniidae"
"30","costarica_14",6,"Naididae"
"31","costarica_15",10,"Scirtidae"
"32","costarica_15",2,"Hydrophilidae"
"33","costarica_15",4,NA
"34","costarica_15",10,"Chironomidae"
"35","costarica_15",2,"Syrphidae"
"36","costarica_15",8,"Limoniidae"
"37","costarica_15",1,NA
"38","costarica_15",6,"Naididae"
"39","costarica_16",16,"Scirtidae"
"40","costarica_16",1,"Hydrophilidae"
"41","costarica_16",10,"Chironomidae"
"42","costarica_16",18,"Limoniidae"
"43","costarica_16",7,"Culicidae"
"44","costarica_16",16,"Naididae"
"45","costarica_17",2,"Scirtidae"
"46","costarica_17",5,"Chironomidae"
"47","costarica_17",28,"Limoniidae"
"48","costarica_17",1,"Chironomidae"
"49","costarica_17",1,"Naididae"
"50","costarica_18",5,"Scirtidae"
"51","costarica_18",1,"Dolichopodidae"
"52","costarica_18",21,"Chironomidae"
"53","costarica_18",2,"Psychodidae"
"54","costarica_18",1,"Tabanidae"
"55","costarica_18",2,"Limoniidae"
"56","costarica_18",1,"Culicidae"
"57","costarica_18",1,"Pseudostigmatidae"
"58","costarica_18",2,"Naididae"
"59","costarica_19",7,"Scirtidae"
"60","costarica_19",1,"Periscelididae"
"61","costarica_19",10,"Chironomidae"
"62","costarica_19",1,"Tabanidae"
"63","costarica_19",12,"Limoniidae"
"64","costarica_19",1,NA
"65","costarica_19",9,"Naididae"
"66","costarica_2",9,"Scirtidae"
"67","costarica_2",2,"Hydrophilidae"
"68","costarica_2",2,NA
"69","costarica_2",12,"Chironomidae"
"70","costarica_2",1,"Syrphidae"
"71","costarica_2",10,"Limoniidae"
"72","costarica_2",1,"Ceratopogonidae"
"73","costarica_2",6,"Naididae"
"74","costarica_20",2,"Scirtidae"
"75","costarica_20",1,"Hydrophilidae"
"76","costarica_20",7,"Chironomidae"
"77","costarica_20",1,"Syrphidae"
"78","costarica_20",10,"Limoniidae"
"79","costarica_20",7,"Naididae"
"80","costarica_21",39,"Scirtidae"
"81","costarica_21",2,"Hydrophilidae"
"82","costarica_21",9,NA
"83","costarica_21",24,"Chironomidae"
"84","costarica_21",2,"Psychodidae"
"85","costarica_21",1,"Syrphidae"
"86","costarica_21",13,"Limoniidae"
"87","costarica_21",2,"Culicidae"
"88","costarica_21",1,NA
"89","costarica_21",1,"Chironomidae"
"90","costarica_21",1,"Ceratopogonidae"
"91","costarica_21",1,"Chironomidae"
"92","costarica_21",1,NA
"93","costarica_21",56,"Naididae"
"94","costarica_22",5,"Scirtidae"
"95","costarica_22",1,NA
"96","costarica_22",5,"Chironomidae"
"97","costarica_22",13,"Limoniidae"
"98","costarica_22",1,"Pseudostigmatidae"
"99","costarica_22",4,"Naididae"
"100","costarica_23",14,"Scirtidae"
"101","costarica_23",1,NA
"102","costarica_23",3,NA
"103","costarica_23",22,"Chironomidae"
"104","costarica_23",1,"Tabanidae"
"105","costarica_23",1,"Syrphidae"
"106","costarica_23",15,"Limoniidae"
"107","costarica_23",2,"Chironomidae"
"108","costarica_23",6,"Naididae"
"109","costarica_24",16,"Scirtidae"
"110","costarica_24",1,NA
"111","costarica_24",1,NA
"112","costarica_24",5,"Chironomidae"
"113","costarica_24",1,"Syrphidae"
"114","costarica_24",5,NA
"115","costarica_24",1,"Ceratopogonidae"
"116","costarica_24",1,"Pseudostigmatidae"
"117","costarica_24",11,"Naididae"
"118","costarica_26",3,"Scirtidae"
"119","costarica_26",29,"Chironomidae"
"120","costarica_26",13,"Limoniidae"
"121","costarica_26",1,"Pseudostigmatidae"
"122","costarica_26",12,"Naididae"
"123","costarica_27",18,"Scirtidae"
"124","costarica_27",7,NA
"125","costarica_27",41,"Chironomidae"
"126","costarica_27",1,"Syrphidae"
"127","costarica_27",6,"Limoniidae"
"128","costarica_27",1,"Chironomidae"
"129","costarica_27",1,"Pseudostigmatidae"
"130","costarica_27",17,"Naididae"
"131","costarica_28",23,"Scirtidae"
"132","costarica_28",4,NA
"133","costarica_28",16,"Chironomidae"
"134","costarica_28",2,"Syrphidae"
"135","costarica_28",10,"Limoniidae"
"136","costarica_28",1,"Culicidae"
"137","costarica_28",1,"Ceratopogonidae"
"138","costarica_28",4,"Chironomidae"
"139","costarica_28",3,"Chironomidae"
"140","costarica_28",1,"Pseudostigmatidae"
"141","costarica_28",22,"Naididae"
"142","costarica_29",9,"Scirtidae"
"143","costarica_29",1,NA
"144","costarica_29",1,NA
"145","costarica_29",5,"Chironomidae"
"146","costarica_29",9,"Limoniidae"
"147","costarica_29",1,"Ceratopogonidae"
"148","costarica_29",1,"Pseudostigmatidae"
"149","costarica_29",21,"Naididae"
"150","costarica_30",8,"Scirtidae"
"151","costarica_30",4,NA
"152","costarica_30",11,"Chironomidae"
"153","costarica_30",3,"Limoniidae"
"154","costarica_30",1,"Pseudostigmatidae"
"155","costarica_30",1,"Naididae"
"156","costarica_31",10,"Scirtidae"
"157","costarica_31",1,"Hydrophilidae"
"158","costarica_31",1,NA
"159","costarica_31",1,NA
"160","costarica_31",1,"Periscelididae"
"161","costarica_31",42,"Chironomidae"
"162","costarica_31",1,"Syrphidae"
"163","costarica_31",12,"Limoniidae"
"164","costarica_31",1,"Culicidae"
"165","costarica_31",2,"Culicidae"
"166","costarica_31",1,NA
"167","costarica_31",1,"Ceratopogonidae"
"168","costarica_31",9,"Naididae"
"169","costarica_32",14,"Scirtidae"
"170","costarica_32",1,NA
"171","costarica_32",2,NA
"172","costarica_32",29,"Chironomidae"
"173","costarica_32",1,"Tabanidae"
"174","costarica_32",4,"Limoniidae"
"175","costarica_32",1,"Culicidae"
"176","costarica_32",1,NA
"177","costarica_32",1,"Culicidae"
"178","costarica_32",12,"Naididae"
"179","costarica_33",10,"Scirtidae"
"180","costarica_33",1,NA
"181","costarica_33",1,"Chironomidae"
"182","costarica_33",1,"Tabanidae"
"183","costarica_33",9,"Limoniidae"
"184","costarica_33",1,"Tipulidae"
"185","costarica_33",2,"Naididae"
"186","costarica_35",10,"Scirtidae"
"187","costarica_35",37,"Chironomidae"
"188","costarica_35",1,"Syrphidae"
"189","costarica_35",33,"Limoniidae"
"190","costarica_35",2,"Culicidae"
"191","costarica_35",1,NA
"192","costarica_35",1,"Ceratopogonidae"
"193","costarica_35",10,"Naididae"
"194","costarica_36",6,"Scirtidae"
"195","costarica_36",2,"Hydrophilidae"
"196","costarica_36",1,NA
"197","costarica_36",1,NA
"198","costarica_36",2,"Dolichopodidae"
"199","costarica_36",3,"Chironomidae"
"200","costarica_36",1,"Syrphidae"
"201","costarica_36",7,"Limoniidae"
"202","costarica_36",3,NA
"203","costarica_36",2,"Naididae"
"204","costarica_37",5,"Scirtidae"
"205","costarica_37",2,NA
"206","costarica_37",6,"Chironomidae"
"207","costarica_37",2,"Psychodidae"
"208","costarica_37",9,"Limoniidae"
"209","costarica_37",14,"Naididae"
"210","costarica_4",9,"Scirtidae"
"211","costarica_4",1,"Hydrophilidae"
"212","costarica_4",3,NA
"213","costarica_4",42,"Chironomidae"
"214","costarica_4",1,"Tabanidae"
"215","costarica_4",1,"Syrphidae"
"216","costarica_4",13,"Limoniidae"
"217","costarica_4",2,"Culicidae"
"218","costarica_4",1,"Ceratopogonidae"
"219","costarica_4",42,"Naididae"
"220","costarica_8",3,"Scirtidae"
"221","costarica_8",1,"Dolichopodidae"
"222","costarica_8",6,"Chironomidae"
"223","costarica_8",11,"Limoniidae"
"224","costarica_8",4,"Naididae"
"225","costarica_9",2,"Scirtidae"
"226","costarica_9",1,NA
"227","costarica_9",1,"Tabanidae"
"228","costarica_9",2,"Syrphidae"
"229","costarica_9",2,"Limoniidae"
