visit_id,dataset_name,dataset_id,latitude,longitude,BC1,BC5,BC6,BC12,BC13,BC14
506,LasGamas2004Spring,276,-29.433,-60.467,19.5666666,31.39999962,6.800000191,986,148,27
496,LasGamas2005Summer,266,-29.433,-60.467,19.5666666,31.39999962,6.800000191,986,148,27
491,LasGamas2005Winter,261,-29.433,-60.467,19.5666666,31.39999962,6.800000191,986,148,27
266,LasGamas2010,166,-29.433,-60.467,19.5666666,31.39999962,6.800000191,986,148,27
271,LasGamas2012,171,-29.433,-60.467,19.5666666,31.39999962,6.800000191,986,148,27
281,LasGamas2013,181,-29.433,-60.467,19.5666666,31.39999962,6.800000191,986,148,27
511,Cardoso2011,146,-25.072,-47.923,22.34583366,30.20000076,14.80000019,2188,324,78
231,Cardoso2011,146,-25.072,-47.923,22.34583366,30.20000076,14.80000019,2188,324,78
21,Cardoso2008,6,-25.0716,-47.9234,22.34583366,30.20000076,14.80000019,2188,324,78
246,Jureia2013,156,-24.431,-47.109,22.14583317,30.39999962,14.39999962,2043,282,78
481,IlhaBella2015,251,-23.7375,-45.2912,21.70000005,30.5,13.5,2239,289,87
241,Picinguaba2011,151,-23.3541,-44.828,22.16666679,31.10000038,13.80000019,2550,317,108
346,SerraDoJapi2011,161,-23.2433,-46.9513,16.7874999,24.39999962,8.600000381,1393,243,34
251,SerraDoJapi2011,161,-23.233,-46.967,16.76666665,24.60000038,8.5,1387,243,34
471,ArraialDoCabo2015,241,-22.9513,-42.0431,22.85833343,29.29999924,16.39999962,1146,151,32
476,Marica2015,246,-22.9472,-42.8875,23.2125001,30.79999924,16.39999962,1041,174,24
211,Macae2008,141,-22.2954,-41.6857,23.19583352,31.39999962,15.5,1195,186,37
456,Macae2015,236,-22.2075,-41.4847,23.27083341,30.70000076,16.39999962,1126,158,34
296,Kaw2008,191,4.5146,-52.0665,25.16249998,30.70000076,20.10000038,3176,550,60
311,Nouragues2006,201,4.083,-52.683,25.29583343,31.29999924,19.70000076,3056,504,80
326,Nouragues2006,201,4.083,-52.683,25.29583343,31.29999924,19.70000076,3056,504,80
316,Nouragues2006,201,4.083,-52.683,25.29583343,31.29999924,19.70000076,3056,504,80
306,Nouragues2006,201,4.083,-52.683,25.29583343,31.29999924,19.70000076,3056,504,80
331,Nouragues2009,206,4.083,-52.683,25.29583343,31.29999924,19.70000076,3056,504,80
341,PetitSaut2014,216,5.0629,-53.0475,25.75833344,31,20.89999962,2814,432,87
336,Sinnamary2011,211,5.3746,-52.9546,26.0625,31.10000038,21.39999962,2768,375,58
91,Guasca2001,76,4.7945,-73.9087,11.28333334,15.89999962,6.199999809,1628,269,31
96,Sisga2000,81,5.017,-73.7,11.95833337,17,6.400000095,1277,170,26
291,PetitSaut2007,186,5.0629,-53.0475,25.75833344,31,20.89999962,2814,432,87
286,PetitSaut2007,186,5.0629,-53.0475,25.75833344,31,20.89999962,2814,432,87
301,PetitSaut2008,196,5.0629,-53.0475,25.75833344,31,20.89999962,2814,432,87
366,RioBlanco2012,86,5.07686,-75.4588,14.71249998,19,10.5,2111,300,67
371,RioBlanco2014,91,5.07686,-75.4588,14.71249998,19,10.5,2111,300,67
41,Pitilla1997,51,10.983,-85.433,21.04166659,26,15.89999962,2993,353,46
46,Pitilla2000,56,10.983,-85.433,21.04166659,26,15.89999962,2993,353,46
51,Pitilla2000,56,10.983,-85.433,21.04166659,26,15.89999962,2993,353,46
56,Pitilla2002,61,10.983,-85.433,21.04166659,26,15.89999962,2993,353,46
61,Pitilla2004,66,10.983,-85.433,21.04166659,26,15.89999962,2993,353,46
86,Pitilla2010,71,10.983,-85.433,21.04166659,26,15.89999962,2993,353,46
201,Dominica2002,136,15.375,-61.335,21.84166662,26.10000038,17.60000038,1880,221,74
196,Dominica2002,136,15.375,-61.335,21.84166662,26.10000038,17.60000038,1880,221,74
191,Dominica2002,136,15.375,-61.335,21.84166662,26.10000038,17.60000038,1880,221,74
106,Cusuco2006,101,15.542,-88.264,19.95833313,26.79999924,12.89999962,1746,258,39
111,Cusuco2007,106,15.542,-88.264,19.95833313,26.79999924,12.89999962,1746,258,39
451,Saba2009,111,17.6327,-63.228,24.07916657,28.29999924,19.60000038,1203,150,51
121,Saba2009,111,17.63,-63.24,23.33749978,27.39999962,19,1273,155,55
126,Saba2009,111,17.635,-63.24,22.84583338,26.79999924,18.70000076,1290,154,57
116,Saba2009,111,17.638,-63.235,22.84583338,26.79999924,18.70000076,1290,154,57
446,Sonadora2004,231,18.3119,-65.795,20.01666673,25.10000038,14.80000019,2002,230,90
441,Sonadora2004,231,18.3131,-65.7964,20.01666673,25.10000038,14.80000019,2002,230,90
436,Sonadora2004,231,18.3149,-65.7975,20.01666673,25.10000038,14.80000019,2002,230,90
431,Sonadora2004,231,18.3158,-65.7994,20.66666655,26.10000038,15.19999981,2011,227,91
426,Sonadora2004,231,18.3164,-65.8017,20.66666655,26.10000038,15.19999981,2011,227,91
421,Sonadora2004,231,18.3169,-65.8031,20.66666655,26.10000038,15.19999981,2011,227,91
416,Sonadora2004,231,18.3183,-65.804,21.72916667,27.39999962,15.89999962,2015,223,87
411,Sonadora2004,231,18.3202,-65.8051,21.72916667,27.39999962,15.89999962,2015,223,87
401,Sonadora2004,231,18.3209,-65.81,22.45833325,28.39999962,16.29999924,2074,224,89
156,ElVerde1993,121,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
151,ElVerde1993,121,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
146,ElVerde1993,121,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
171,ElVerde1994,126,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
166,ElVerde1994,126,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
161,ElVerde1994,126,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
361,ElVerde1996,221,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
356,ElVerde1996,221,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
351,ElVerde1996,221,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
181,ElVerde1997,131,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
176,ElVerde1997,131,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
141,ElVerde2010,116,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
136,ElVerde2010,116,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
131,ElVerde2010,116,18.321,-65.817,23.02083349,29.20000076,16.70000076,2123,229,89
406,Sonadora2004,231,18.3211,-65.808,22.45833325,28.39999962,16.29999924,2074,224,89
396,Sonadora2004,231,18.3212,-65.8124,22.45833325,28.39999962,16.29999924,2074,224,89
391,Sonadora2004,231,18.3225,-65.8147,22.45833325,28.39999962,16.29999924,2074,224,89
376,Sonadora2004,231,18.3229,-65.8163,23.02083349,29.20000076,16.70000076,2123,229,89
486,Quintana_Roo2011,256,18.4267,-88.8044,25.07499989,33.09999847,15.89999962,1152,185,22
