Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27
0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11.2,0,0,0,0,0,0,0,22,0,0
6,0,9.5,0,8,0,0,15,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,10,2,0
5.5,0,0,30,0,0,0,19,37,0,0,0,0,0,43.4,0,0,82,0,2,0,0,0,0,0,0
19,59,9,0,0,0,0,0,0,6,0,0,0,0,6.2,0,6,1.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
12,13,2,0,0,3,0,0,0,0,7,0,6,0,0,0,0,0,1,0,0,0,0,13,0,0
0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,27,0,0,34,8,0,48,0,0,0
0,0,3.5,0,0,0,2,0,32,4,1,0,3,0,0,0.8,0,0,0,0,0,0,0,0,22,0
0,0,0,0.5,0,52,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
0,0,0,0,5,17,0,3,0,1,0,0,0,0,0,0,17,0,44,0,0,0,0,30,0,0
0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,16.5,0,0,0,0,0,12,0,0,0
28,6.5,7.5,0,0,0,112,10,9,0,0,0,0,49,0,0,0,15,0,0,0,20,0,0,0,0
14,0,0,0,0,0,32,0,0,0,0,0,0,4.5,0,0,0,11,0,0,0,26,0,0,0,0
0,0,26,3,0,0,35,18,0,119,1,0,0,0,0,0,0,15,0,25,0,0,50,0,0,0
0,0,0,5,0,18,0,8,0,20,15,0,84,0,0,0,0,2,24,0,0,2,0,0,0,0
0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,52.6,0,0,0,0,0,0,10,0,0,0
0,0,0,74,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,26,0.5,0,0,15,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,23,1.5,0,19,0,0,0,12,0,0,0,0,1,0,47,0,17,13,0,0,0,8,0
0,0,0,1,5,0,0,0,0,12,0,0,0,9,0,0,0,0,0,0,0,0,0,5,10,0
0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2.5,0,0,0,37,35,7,0,4,0
30,0,0,0,0,0,0,0,0,0,0,0,79,0,24,0,42.6,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
46,0,0,1.5,0,0,0,0,0,0,1,24.5,0,0,0,0,14,0,25,6,0,0,15,0,0,10
55,0,0,7,0,0,0,0,66,0,0,2.5,94,34.5,0,0,0,4,0,0,0,0,20,0,40,0
0,0,53,0,0,12,0,0,9,9,0,0,7,15,0,0,0,0,0,0,4,0,0,0,0,0
1,0,46,0,4,4,0,0,0,44,4,0,0,54,0,0,11.5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,74,0
0,0,0,0,0,0,0,0,30,23,14,0,16,0,0,0,0,21,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,19,0,0,14,0,0,7,0,0,0,0,0,0,0,38,0,0,83,145,0,0,7,0
33,0,6.5,0,0,0,0,0,0,0,9,0,0,0,0,1.2,0,0,65,0,0,0,0,0,0,0
0,0,0,0,0,0,11,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5
0,0,34.5,0,0,0,3,0,0,0,0,0,0,0,0,0,1.6,9,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,28,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,12
0,0,0,0,15,13,0,0,0,0,0,0,0,0,56,0,32.6,0,42,9,0,0,0,0,85,7
0,0,0,0,3,0,3,0,0,0,0,22,0,0,0,0,0,78,0,0,0,0,0,0,7,0
0,0,0,0,0,0,37,0,0,62,0,11,0,9,0,0,0,0,8,0,0,0,0,0,35,0
0,0,0,15,0,0,0,0,0,3.5,0,0,0,0,0,0,0,61,0,19,0,30,0,0,0,0
0,0,0,4,0,0,0,0,47,0,10.5,0,0,0,0,0,62,30,0,0,0,7,0,0,0,22
0,0,0,0,0,0,0,45,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,38,30,0
0,0,0,0,0,0,0,3,0,68,0,0,0,0,0,0,0,0,0,0,7,0,0,2,32,0
3.5,0,0,1,0,0,0,0,0,4,0,27,0,0,2,0,0,34,40,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.6,0,0,0,0,0,0,20,0,0,0
0,0,0,0,4,14,0,0,0,0,0,0,0,10,0,0,18.8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,114,0,35,0,0,0,0,0,0
0,0,0,0,0,0,0,26.5,0,0,0,0,4,0,0,6.6,0,7,0,0,19,0,20,0,0,0
0,0,0,0,0,0,65,0,0,0,0,0,5,0,0,0,0,66,0,107,0,0,0,0,0,0
0,0,0,0,0,29,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,3,3,0,0,0
0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
5,0,3.5,0,0,0,54,7,1,16.5,0,0,10.5,25,0,0,0,0,0,20,17,0,21,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,60,20
1,0,0,0,0,0,0,0,0,0,0,0,0,38.5,0,17.2,10,0,0,0,0,0,0,0,23.5,10
