"","X","intended.mu","intended.k","site"
"1",1,0.43,0.03,"Argentina"
"2",2,0.86,0.03,"Argentina"
"3",3,1.72,0.03,"Argentina"
"4",4,2.58,0.03,"Argentina"
"5",5,3.45,0.03,"Argentina"
"6",6,4.31,0.03,"Argentina"
"7",7,6.46,0.03,"Argentina"
"8",8,8.62,0.03,"Argentina"
"9",9,10.77,0.03,"Argentina"
"10",10,12.92,0.03,"Argentina"
"11",11,0.43,0.05,"Argentina"
"12",12,0.86,0.05,"Argentina"
"13",13,1.72,0.05,"Argentina"
"14",14,2.58,0.05,"Argentina"
"15",15,3.45,0.05,"Argentina"
"16",16,4.31,0.05,"Argentina"
"17",17,6.46,0.05,"Argentina"
"18",18,8.62,0.05,"Argentina"
"19",19,10.77,0.05,"Argentina"
"20",20,12.92,0.05,"Argentina"
"21",21,0.43,0.11,"Argentina"
"22",22,0.86,0.11,"Argentina"
"23",23,1.72,0.11,"Argentina"
"24",24,2.58,0.11,"Argentina"
"25",25,3.45,0.11,"Argentina"
"26",26,4.31,0.11,"Argentina"
"27",27,6.46,0.11,"Argentina"
"28",28,8.62,0.11,"Argentina"
"29",29,10.77,0.11,"Argentina"
"30",30,12.92,0.11,"Argentina"
"31",31,22.67,0.1,"Cardoso"
"32",32,0.76,0.19,"Cardoso"
"33",33,1.51,0.19,"Cardoso"
"34",34,3.02,0.19,"Cardoso"
"35",35,18.89,0.19,"Cardoso"
"36",36,3.02,0.39,"Cardoso"
"37",37,4.53,0.39,"Cardoso"
"38",38,11.33,0.39,"Cardoso"
"39",39,15.11,0.39,"Cardoso"
"40",40,18.89,0.39,"Cardoso"
"41",41,1.51,0.1,"Cardoso"
"42",42,3.02,0.1,"Cardoso"
"43",43,4.53,0.1,"Cardoso"
"44",44,6.05,0.1,"Cardoso"
"45",45,7.56,0.1,"Cardoso"
"46",46,4.53,0.19,"Cardoso"
"47",47,6.05,0.19,"Cardoso"
"48",48,11.33,0.19,"Cardoso"
"49",49,15.11,0.19,"Cardoso"
"50",50,22.67,0.39,"Cardoso"
"51",51,7.56,0.19,"Cardoso"
"52",52,6.05,0.39,"Cardoso"
"53",53,1.51,0.39,"Cardoso"
"54",54,22.67,0.19,"Cardoso"
"55",55,0.76,0.1,"Cardoso"
"56",56,7.56,0.39,"Cardoso"
"57",57,0.76,0.39,"Cardoso"
"58",58,18.89,0.1,"Cardoso"
"59",59,15.11,0.1,"Cardoso"
"60",60,11.33,0.1,"Cardoso"
"61",61,0.89,0.25,"Colombia"
"62",62,1.79,0.25,"Colombia"
"63",63,3.57,0.25,"Colombia"
"64",64,5.36,0.25,"Colombia"
"65",65,7.14,0.25,"Colombia"
"66",66,8.93,0.25,"Colombia"
"67",67,13.39,0.25,"Colombia"
"68",68,17.85,0.25,"Colombia"
"69",69,22.31,0.25,"Colombia"
"70",70,26.78,0.25,"Colombia"
"71",71,0.89,0.49,"Colombia"
"72",72,1.79,0.49,"Colombia"
"73",73,3.57,0.49,"Colombia"
"74",74,5.36,0.49,"Colombia"
"75",75,7.14,0.49,"Colombia"
"76",76,8.93,0.49,"Colombia"
"77",77,13.39,0.49,"Colombia"
"78",78,17.85,0.49,"Colombia"
"79",79,22.31,0.49,"Colombia"
"80",80,26.78,0.49,"Colombia"
"81",81,0.89,0.99,"Colombia"
"82",82,1.79,0.99,"Colombia"
"83",83,3.57,0.99,"Colombia"
"84",84,5.36,0.99,"Colombia"
"85",85,7.14,0.99,"Colombia"
"86",86,8.93,0.99,"Colombia"
"87",87,13.39,0.99,"Colombia"
"88",88,17.85,0.99,"Colombia"
"89",89,22.31,0.99,"Colombia"
"90",90,26.78,0.99,"Colombia"
"91",91,0.82,0.15,"French Guiana"
"92",92,1.63,0.15,"French Guiana"
"93",93,3.26,0.15,"French Guiana"
"94",94,4.9,0.15,"French Guiana"
"95",95,6.53,0.15,"French Guiana"
"96",96,8.16,0.15,"French Guiana"
"97",97,12.24,0.15,"French Guiana"
"98",98,16.32,0.15,"French Guiana"
"99",99,20.4,0.15,"French Guiana"
"100",100,24.48,0.15,"French Guiana"
"101",101,0.82,0.31,"French Guiana"
"102",102,1.63,0.31,"French Guiana"
"103",103,3.26,0.31,"French Guiana"
"104",104,4.9,0.31,"French Guiana"
"105",105,6.53,0.31,"French Guiana"
"106",106,8.16,0.31,"French Guiana"
"107",107,12.24,0.31,"French Guiana"
"108",108,16.32,0.31,"French Guiana"
"109",109,20.4,0.31,"French Guiana"
"110",110,24.48,0.31,"French Guiana"
"111",111,0.82,0.61,"French Guiana"
"112",112,1.63,0.61,"French Guiana"
"113",113,3.26,0.61,"French Guiana"
"114",114,4.9,0.61,"French Guiana"
"115",115,6.53,0.61,"French Guiana"
"116",116,8.16,0.61,"French Guiana"
"117",117,12.24,0.61,"French Guiana"
"118",118,16.32,0.61,"French Guiana"
"119",119,20.4,0.61,"French Guiana"
"120",120,24.48,0.61,"French Guiana"
"121",121,0.3,0.05,"Macae"
"122",122,0.6,0.05,"Macae"
"123",123,1.2,0.05,"Macae"
"124",124,1.8,0.05,"Macae"
"125",125,2.41,0.05,"Macae"
"126",126,3.01,0.05,"Macae"
"127",127,4.51,0.05,"Macae"
"128",128,6.02,0.05,"Macae"
"129",129,7.52,0.05,"Macae"
"130",130,9.02,0.05,"Macae"
"131",131,0.3,0.1,"Macae"
"132",132,0.6,0.1,"Macae"
"133",133,1.2,0.1,"Macae"
"134",134,1.8,0.1,"Macae"
"135",135,2.41,0.1,"Macae"
"136",136,3.01,0.1,"Macae"
"137",137,4.51,0.1,"Macae"
"138",138,6.02,0.1,"Macae"
"139",139,7.52,0.1,"Macae"
"140",140,9.02,0.1,"Macae"
"141",141,0.3,0.19,"Macae"
"142",142,0.6,0.19,"Macae"
"143",143,1.2,0.19,"Macae"
"144",144,1.8,0.19,"Macae"
"145",145,2.41,0.19,"Macae"
"146",146,3.01,0.19,"Macae"
"147",147,4.51,0.19,"Macae"
"148",148,6.02,0.19,"Macae"
"149",149,7.52,0.19,"Macae"
"150",150,9.02,0.19,"Macae"
"151",151,0.99,0.13,"Puerto Rico"
"152",152,0.99,0.26,"Puerto Rico"
"153",153,0.99,0.52,"Puerto Rico"
"154",154,1.98,0.13,"Puerto Rico"
"155",155,1.98,0.26,"Puerto Rico"
"156",156,1.98,0.52,"Puerto Rico"
"157",157,3.96,0.13,"Puerto Rico"
"158",158,3.96,0.26,"Puerto Rico"
"159",159,3.96,0.52,"Puerto Rico"
"160",160,5.94,0.13,"Puerto Rico"
"161",161,5.94,0.26,"Puerto Rico"
"162",162,5.94,0.52,"Puerto Rico"
"163",163,7.92,0.13,"Puerto Rico"
"164",164,7.92,0.26,"Puerto Rico"
"165",165,7.92,0.52,"Puerto Rico"
"166",166,9.9,0.13,"Puerto Rico"
"167",167,9.9,0.26,"Puerto Rico"
"168",168,9.9,0.52,"Puerto Rico"
"169",169,14.84,0.13,"Puerto Rico"
"170",170,14.84,0.26,"Puerto Rico"
"171",171,14.84,0.52,"Puerto Rico"
"172",172,19.79,0.13,"Puerto Rico"
"173",173,19.79,0.26,"Puerto Rico"
"174",174,19.79,0.52,"Puerto Rico"
"175",175,24.74,0.13,"Puerto Rico"
"176",176,24.74,0.26,"Puerto Rico"
"177",177,24.74,0.52,"Puerto Rico"
"178",178,29.69,0.13,"Puerto Rico"
"179",179,29.69,0.26,"Puerto Rico"
"180",180,29.69,0.52,"Puerto Rico"
"181",181,1.34,0.27,"Costa Rica"
"182",182,2.68,0.27,"Costa Rica"
"183",183,5.36,0.27,"Costa Rica"
"184",184,8.04,0.27,"Costa Rica"
"185",185,10.73,0.27,"Costa Rica"
"186",186,13.41,0.27,"Costa Rica"
"187",187,20.11,0.27,"Costa Rica"
"188",188,26.82,0.27,"Costa Rica"
"189",189,33.52,0.27,"Costa Rica"
"190",190,40.22,0.27,"Costa Rica"
"191",191,1.34,0.53,"Costa Rica"
"192",192,2.68,0.53,"Costa Rica"
"193",193,5.36,0.53,"Costa Rica"
"194",194,8.04,0.53,"Costa Rica"
"195",195,10.73,0.53,"Costa Rica"
"196",196,13.41,0.53,"Costa Rica"
"197",197,20.11,0.53,"Costa Rica"
"198",198,26.82,0.53,"Costa Rica"
"199",199,33.52,0.53,"Costa Rica"
"200",200,40.22,0.53,"Costa Rica"
"201",201,1.34,1.06,"Costa Rica"
"202",202,2.68,1.06,"Costa Rica"
"203",203,5.36,1.06,"Costa Rica"
"204",204,8.04,1.06,"Costa Rica"
"205",205,10.73,1.06,"Costa Rica"
"206",206,13.41,1.06,"Costa Rica"
"207",207,20.11,1.06,"Costa Rica"
"208",208,26.82,1.06,"Costa Rica"
"209",209,33.52,1.06,"Costa Rica"
"210",210,40.22,1.06,"Costa Rica"
